iter	Logloss
0	0.6499750733
1	0.6086915985
2	0.5764850606
3	0.5444515892
4	0.5153819274
5	0.4940402347
6	0.4730781562
7	0.4535538481
8	0.4397339775
9	0.4256025767
10	0.4137608753
11	0.4003991689
12	0.3896015531
13	0.3789185852
14	0.3702006503
15	0.3626604589
16	0.3552519497
17	0.3494092886
18	0.3434706961
19	0.3384631166
20	0.3321815951
21	0.3255059884
22	0.3207631616
23	0.3162590554
24	0.3119752472
25	0.3070919541
26	0.3016718133
27	0.2977794203
28	0.2938532525
29	0.2899926053
30	0.2874283277
31	0.2842446208
32	0.2814782277
33	0.2786895138
34	0.2757325127
35	0.2726525334
36	0.2704414374
37	0.2677871023
38	0.2656902804
39	0.2628261937
40	0.2604574102
41	0.2586768977
42	0.2559698577
43	0.2539810621
44	0.2522251666
45	0.2497903552
46	0.2479144186
47	0.2467530151
48	0.2450972963
49	0.2432716617
50	0.2418672924
51	0.2397481496
52	0.2384737537
53	0.2368507953
54	0.2342419829
55	0.232914001
56	0.2319888084
57	0.2300777619
58	0.2285082826
59	0.2273472797
60	0.2257574554
61	0.2244447456
62	0.2231983308
63	0.2220732922
64	0.2204718803
65	0.2195556587
66	0.2184162023
67	0.2170767263
68	0.2160601945
69	0.21494394
70	0.2136079616
71	0.2120791191
72	0.211020589
73	0.2101874831
74	0.209464326
75	0.208504384
76	0.207131934
77	0.2062055399
78	0.2053824197
79	0.2043598539
80	0.20382071
81	0.2029044084
82	0.2021912903
83	0.2014996119
84	0.200900394
85	0.1998906974
86	0.1994790972
87	0.1991988588
88	0.1981737699
89	0.1976754363
90	0.1971345302
91	0.1964476978
92	0.1959988251
93	0.1951721005
94	0.1938493917
95	0.193121442
96	0.1923461807
97	0.1915036366
98	0.1902433514
99	0.1894894631
100	0.1889914498
101	0.1883936738
102	0.1879513291
103	0.1871657618
104	0.1866743166
105	0.1859239794
106	0.1851216047
107	0.1847036767
108	0.1838585294
109	0.1827889724
110	0.1823955946
111	0.1818421532
112	0.1813778214
113	0.1810494704
114	0.1803973341
115	0.1799203467
116	0.1790877749
117	0.178589548
118	0.177912728
119	0.1774080799
120	0.1768414622
121	0.1763773707
122	0.1758640453
123	0.1753906357
124	0.175168629
125	0.1745241954
126	0.1739960918
127	0.173576602
128	0.1731715699
129	0.1727226438
130	0.1721006245
131	0.1717032552
132	0.1708098751
133	0.1699303922
134	0.1694238885
135	0.1689839734
136	0.1687613526
137	0.1678773575
138	0.1675581911
139	0.1671436941
140	0.1666846488
141	0.166296878
142	0.1659635075
143	0.1650566041
144	0.1645032694
145	0.1642240856
146	0.1636633018
147	0.1633179966
148	0.16302302
149	0.1627047882
150	0.1622859524
151	0.1614077243
152	0.1607160326
153	0.1601748596
154	0.1599957323
155	0.1595647216
156	0.1594009199
157	0.1588573973
158	0.1584248781
159	0.1579030755
160	0.1576175773
161	0.1574287181
162	0.1571270133
163	0.1568861033
164	0.1564933129
165	0.1562300154
166	0.1557986175
167	0.155007777
168	0.1548990832
169	0.1542461192
170	0.1537870472
171	0.1535526519
172	0.1528766462
173	0.1520916796
174	0.1518754
175	0.1513906297
176	0.1508401118
177	0.1504162966
178	0.1499316064
179	0.1493961471
180	0.1487829654
181	0.1482688123
182	0.1478927092
183	0.1475579503
184	0.1469539933
185	0.146212587
186	0.1460413361
187	0.1457476678
188	0.1451425093
189	0.1445413157
190	0.1440722581
191	0.1435173615
192	0.1431535135
193	0.1426970982
194	0.142276794
195	0.1419842738
196	0.1415867042
197	0.1409914245
198	0.1407823938
199	0.1404976165
200	0.1401515904
201	0.1399018028
202	0.1396774866
203	0.1393880502
204	0.1391269821
205	0.1385487634
206	0.1381498589
207	0.1375383459
208	0.1371257311
209	0.1365693527
210	0.1362729077
211	0.1355118772
212	0.1350007679
213	0.1344281561
214	0.1338999991
215	0.133444051
216	0.1330184336
217	0.1327743464
218	0.1324009666
219	0.1318829153
220	0.1316723761
221	0.131304176
222	0.1309495661
223	0.1307972986
224	0.1303404827
225	0.1298823319
226	0.1294534705
227	0.1289095073
228	0.1286352229
229	0.1283764777
230	0.1281173719
231	0.127834557
232	0.1274279096
233	0.127207278
234	0.1268100421
235	0.1262933259
236	0.1258731952
237	0.1254909646
238	0.124911491
239	0.1247716121
240	0.1245628083
241	0.1243182272
242	0.1240150405
243	0.1235747917
244	0.1232404467
245	0.1229387151
246	0.1227270145
247	0.1222748577
248	0.1219044816
249	0.1216073958
250	0.1213286659
251	0.1209935733
252	0.1207198095
253	0.1204611177
254	0.1200661647
255	0.1198732338
256	0.1194330784
257	0.1191701013
258	0.1189444368
259	0.1186681499
260	0.1182912858
261	0.1180337153
262	0.1176608696
263	0.1173559608
264	0.117166087
265	0.1170141399
266	0.1168175511
267	0.116544308
268	0.1163586394
269	0.11616153
270	0.115841843
271	0.1156546258
272	0.1154396945
273	0.1151625933
274	0.1149081733
275	0.1146950175
276	0.1143206365
277	0.1138757687
278	0.1135685638
279	0.1131879351
280	0.1129470785
281	0.1127191045
282	0.1125352114
283	0.1120833216
284	0.1117983707
285	0.111509248
286	0.1113561996
287	0.1111510336
288	0.1108619243
289	0.1106765894
290	0.1101425051
291	0.1098550378
292	0.10966738
293	0.109324925
294	0.1090363296
295	0.1087748477
296	0.1085734196
297	0.1083167102
298	0.1079826856
299	0.1077206896
300	0.1073642841
301	0.1071395273
302	0.1068741339
303	0.1066536824
304	0.106469836
305	0.1062268034
306	0.1059879493
307	0.1057241378
308	0.1052993681
309	0.1051633873
310	0.1047727129
311	0.1044768353
312	0.1042603086
313	0.1041189546
314	0.1038662501
315	0.1036337838
316	0.1033527378
317	0.1030103028
318	0.1027959655
319	0.1024913104
320	0.1022626421
321	0.1021227966
322	0.1015511126
323	0.1013188867
324	0.1011096023
325	0.1009041427
326	0.1006195055
327	0.1003859179
328	0.1002388234
329	0.09996481267
330	0.09981986085
331	0.09956813756
332	0.09940795364
333	0.09923345878
334	0.09899579279
335	0.09879604016
336	0.09863574945
337	0.0984819534
338	0.09822642542
339	0.09806618144
340	0.09788397041
341	0.09769859548
342	0.09758119758
343	0.09730882219
344	0.09708554058
345	0.0969630364
346	0.09678380237
347	0.09659587763
348	0.09633114499
349	0.09619487052
350	0.09600202639
351	0.09573095927
352	0.09558938495
353	0.09548586414
354	0.09530546868
355	0.09507419056
356	0.09472900551
357	0.09454788916
358	0.09437771962
359	0.09416761423
360	0.0939252291
361	0.09377675294
362	0.09361751687
363	0.0933700388
364	0.0932006035
365	0.09298230803
366	0.09283494657
367	0.09262973388
368	0.09244938514
369	0.09216464786
370	0.0919313606
371	0.09176856013
372	0.09156332074
373	0.09143322722
374	0.09125442705
375	0.09100336457
376	0.09084721896
377	0.09075521901
378	0.09065948113
379	0.09046968075
380	0.09022918461
381	0.08997898319
382	0.08978586539
383	0.08949071529
384	0.08937690848
385	0.0890981519
386	0.08894998278
387	0.08868262691
388	0.0884285941
389	0.08827030586
390	0.08811829201
391	0.08791042271
392	0.08776792057
393	0.0876200318
394	0.08747778331
395	0.08728375773
396	0.0870835245
397	0.08689306331
398	0.08671587179
399	0.08658587171
400	0.08635748382
401	0.08610291702
402	0.08588776543
