iter	Passed	Remaining
0	5	2562
1	10	2504
2	16	2758
3	21	2706
4	27	2765
5	33	2780
6	38	2720
7	43	2679
8	48	2662
9	53	2627
10	58	2605
11	63	2600
12	68	2573
13	73	2556
14	78	2546
15	83	2534
16	88	2516
17	93	2501
18	98	2493
19	103	2479
20	108	2475
21	113	2470
22	118	2458
23	123	2445
24	128	2434
25	132	2422
26	137	2415
27	143	2424
28	149	2420
29	153	2412
30	159	2407
31	163	2396
32	168	2386
33	173	2384
34	178	2376
35	183	2366
36	188	2361
37	193	2353
38	198	2346
39	203	2339
40	208	2332
41	213	2324
42	218	2320
43	223	2316
44	228	2308
45	233	2303
46	238	2299
47	243	2292
48	248	2287
49	253	2284
50	258	2277
51	263	2268
52	269	2272
53	274	2268
54	279	2263
55	285	2265
56	290	2259
57	295	2253
58	300	2246
59	305	2238
60	310	2233
61	315	2226
62	320	2223
63	325	2220
64	331	2215
65	336	2209
66	340	2203
67	345	2197
68	351	2193
69	356	2187
70	360	2181
71	366	2180
72	371	2174
73	376	2166
74	381	2162
75	386	2154
76	391	2148
77	395	2142
78	400	2135
79	405	2128
80	410	2123
81	415	2118
82	420	2111
83	425	2105
84	431	2104
85	435	2098
86	440	2091
87	445	2087
88	451	2084
89	456	2077
90	461	2072
91	465	2066
92	470	2060
93	475	2054
94	480	2049
95	485	2043
96	490	2037
97	496	2035
98	501	2030
99	506	2027
100	512	2023
101	517	2019
102	522	2014
103	527	2008
104	532	2002
105	536	1995
106	557	2048
107	562	2042
108	567	2036
109	574	2036
110	580	2033
111	586	2030
112	592	2028
113	598	2027
114	604	2023
115	610	2021
116	616	2017
117	622	2015
118	628	2012
119	633	2006
120	638	2000
121	643	1993
122	648	1988
123	653	1981
124	658	1974
125	663	1968
126	668	1962
127	673	1956
128	678	1951
129	683	1946
130	689	1942
131	694	1936
132	700	1931
133	705	1926
134	710	1920
135	716	1916
136	721	1912
137	727	1908
138	732	1903
139	738	1898
140	743	1893
141	749	1889
142	754	1884
143	760	1879
144	766	1875
145	771	1871
146	777	1867
147	783	1863
148	788	1858
149	793	1852
150	798	1845
151	803	1840
152	809	1835
153	813	1828
154	818	1822
155	823	1816
156	828	1810
157	833	1803
158	838	1798
159	843	1793
160	849	1787
161	854	1782
162	858	1775
163	864	1770
164	871	1768
165	876	1762
166	881	1758
167	887	1753
168	892	1748
169	898	1744
170	904	1739
171	909	1733
172	914	1727
173	919	1722
174	923	1715
175	928	1709
176	933	1703
177	939	1698
178	944	1693
179	949	1687
180	955	1683
181	960	1678
182	965	1672
183	970	1666
184	975	1660
185	980	1655
186	986	1650
187	991	1644
188	996	1639
189	1001	1634
190	1006	1629
191	1011	1623
192	1017	1618
193	1023	1614
194	1028	1608
195	1034	1604
196	1039	1598
197	1044	1592
198	1048	1586
199	1054	1581
200	1059	1575
201	1063	1569
202	1068	1564
203	1074	1558
204	1078	1552
205	1084	1547
206	1089	1541
207	1094	1536
208	1099	1531
209	1104	1525
210	1109	1519
211	1114	1514
212	1119	1508
213	1124	1502
214	1130	1498
215	1136	1493
216	1141	1488
217	1146	1482
218	1151	1477
219	1156	1472
220	1162	1467
221	1167	1462
222	1173	1457
223	1178	1451
224	1182	1445
225	1188	1440
226	1193	1435
227	1198	1429
228	1203	1424
229	1208	1418
230	1213	1412
231	1218	1407
232	1223	1401
233	1228	1396
234	1233	1391
235	1238	1385
236	1243	1379
237	1248	1374
238	1253	1368
239	1258	1362
240	1263	1357
241	1269	1353
242	1274	1348
243	1280	1343
244	1284	1337
245	1289	1331
246	1294	1326
247	1299	1320
248	1304	1315
249	1309	1309
250	1315	1304
251	1319	1299
252	1325	1293
253	1329	1288
254	1334	1282
255	1339	1276
256	1344	1271
